Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1753 MILTON AVENUE,SOLVAY,13209,Onondaga,POINT (-76.204868 43.06101)
ACMG Federal Credit Union,4659 ONONDAGA BOULEVARD,SYRACUSE,13219,Onondaga,POINT (-76.193087 43.032535)
ACMG Federal Credit Union,4800 SOUTH SALINA STREET,SYRACUSE,13205,Onondaga,POINT (-76.142745 43.000336)
Abacus Federal Savings Bank,36-30 Main Street,Flushing,11354,Queens,POINT (-73.831598 40.76235)
Abacus Federal Savings Bank,4824 8TH AVENUE,BROOKLYN,11220,Kings,POINT (-74.003033 40.641776)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99746 40.714236)
Abacus Federal Savings Bank,104-116 Nassau Street,New York,10038,New York,POINT (-74.007268 40.710658)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.63242 43.053711)
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,POINT (-75.748044 43.335045)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.459953 43.208441)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.598296 43.075981)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.728873 43.199068)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.970643 43.711849)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.230972 43.101546)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.254445 43.243069)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.046778 43.020087)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.859337 43.043326)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.439069 43.231066)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.986159 43.027845)
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.005787 43.01112)
Adirondack Bank,Utica College,Utica,13501,Oneida,
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.31591 43.476015)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.293556 43.120311)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.998995 44.296634)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.130295 44.328432)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.131654 44.3263)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.284718 43.074857)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.311514 43.089219)
"Adirondack Trust Company, The",79 Main Street,Queensbury,12804,Warren,POINT (-73.672045 43.299269)
"Adirondack Trust Company, The",350 Canada Street,Lake George,12845,Warren,POINT (-73.71207 43.427037)
"Adirondack Trust Company, The",51B Luther Forest Blvd.,Malta,12118,Saratoga,POINT (-73.784627 42.947579)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.804691 43.085156)
"Adirondack Trust Company, The",322 RUHLE ROAD,BALLSTON LAKE,12019,Saratoga,POINT (-73.808487 42.936019)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.653372 43.335337)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851599 42.990126)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.851234 43.047971)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.838707 43.022672)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78483 43.08309)
Advantage Federal C.U.,1425 Portland Avenue,Rochester,14621,Monroe,POINT (-77.584428 43.192588)
Advantage Federal C.U.,70 Metro Park,Rocheter,14623,Monroe,POINT (-77.615771 43.0976)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.617774 43.153936)
Advantage Federal C.U.,601 ELMWOOD AVENUE,ROCHESTER,14642,Monroe,POINT (-77.622451 43.12444)
Advantage Federal C.U.,1625 MOUNT HOPE AVENUE,ROCHESTER,14620,Monroe,POINT (-77.62069 43.118151)
Advantage Federal C.U.,38 LOMB MEMORIAL DRIVE,ROCHESTER,14623,Monroe,POINT (-77.674602 43.091103)
Advantage Federal C.U.,1975 BUFFALO ROAD,ROCHESTER,14624,Monroe,POINT (-77.707937 43.147967)
Advantage Federal C.U.,2515 BROWNCROFT BOULEVARD,ROCHESTER,14626,Monroe,POINT (-77.504604 43.153669)
Advantage Federal C.U.,1000 SOUTH AVENUE,ROCHESTER,14620,Monroe,POINT (-77.607295 43.136451)
Advantage Federal C.U.,100 KINGS HIGHWAY SOUTH,ROCHESTER,14617,Monroe,POINT (-77.577195 43.202074)
Advantage Federal C.U.,701 LIBRARY ROAD,ROCHESTER,14627,Monroe,POINT (-77.628031 43.128941)
Advantage Federal C.U.,321 NEW CAMPUS DRIVE,BROCKPORT,14420,Monroe,POINT (-77.950907 43.209144)
Advantage Federal C.U.,6000 Reynolds Drive,Rochester,14623,Monroe,
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.61162 43.153594)
Advantage Federal C.U.,211 BAILEY ROAD,HENRIETTA,14586,Monroe,POINT (-77.677959 43.072127)
Advantage Federal C.U.,1 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.607 43.07332)
Advantage Federal C.U.,100 EXCHANGE BLVD,ROCHESTER,14614,Monroe,POINT (-77.61162 43.153594)
Advantage Federal C.U.,100 RESIDENCE DRIVE,BROCKPORT,14420,Monroe,POINT (-77.947189 43.211022)
Alco Federal Credit Union,24 East Main St,Cuba,14727,Allegany,POINT (-78.274756 42.217504)
Alco Federal Credit Union,2859 Lindy Lane,Wellsville,14895,Allegany,POINT (-77.978891 42.123546)
Alco Federal Credit Union,32 Greenwich Street,Belmont,14813,Allegany,POINT (-78.028496 42.225026)
Alco Federal Credit Union,25 West Main Street,Friendship,14739,Allegany,POINT (-78.13484 42.207483)
Alden State Bank,5802 Broadway,Lancaster,14086,Erie,POINT (-78.644966 42.894862)
Alden State Bank,13216 Broadway,Alden,14004,Erie,POINT (-78.495462 42.900207)
Alden State Bank,6545 Transit Rd,Clarence,14051,New York,POINT (-78.696927 43.027293)
Alma Bank,4401 13th Avenue,Brooklyn,11219,Kings,POINT (-73.98929 40.637733)
Alma Bank,1023 Avenue of the Americas,New York,10018,New York,POINT (-73.98584 40.75244)
Alma Bank,1705 Crosby Avenue,Bronx,10461,Bronx,POINT (-73.831308 40.845585)
Alma Bank,1218 Kings Highway,Brooklyn,11237,Kings,POINT (-73.960463 40.607862)
Alma Bank,41-02 Broadway,Astoria,11103,Queens,POINT (-73.918062 40.758526)
Alma Bank,8424 5th Avenue,Brooklyn,11209,Kings,POINT (-74.025571 40.622291)
Alma Bank,28-20 Ditmars Boulevard,Astoria,11105,Queens,POINT (-73.911791 40.776889)
Alma Bank,2831 31st Street,Astoria,11102,Queens,POINT (-73.921115 40.767229)
Alma Bank,21311 Northern Boulevard,Bayside,11361,Queens,POINT (-73.769888 40.760237)
Alternatives Federal Credit Union,125 North Fulton Street,Ithaca,14850,Tompkins,POINT (-76.51054 42.439626)
Alternatives Federal Credit Union,125 N Fulton St,Ithaca,14850,Tompkins,POINT (-76.51054 42.439626)
Amalgamated Bank,1212 Fulton Street,Brooklyn,11216,Kings,POINT (-73.952039 40.680524)
Amalgamated Bank,2067 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.828754 40.869525)
Amalgamated Bank,10 East 14th Street,New York,10003,New York,POINT (-73.992967 40.735726)
Amerasia Bank,86-26 Broadway,Elmhurst,11373,Queens,POINT (-73.877185 40.73779)
Amerasia Bank,41-06 Main Street,Flushing,11355,Queens,POINT (-73.829441 40.758022)
Amerasia Bank,214-01 Northern Blvd.,Bayside,11361,Queens,POINT (-73.7689 40.76033)
AmeriCU Credit Union,1916 BLACK RIVER BOULEVARD,ROME,13440,Oneida,POINT (-75.436138 43.23662)
AmeriCU Credit Union,280 GENESEE STREET,ONEIDA,13421,Madison,POINT (-75.651626 43.078584)
AmeriCU Credit Union,4957 COMMERCIAL DRIVE,YORKVILLE,13495,Oneida,POINT (-75.298521 43.103129)
AmeriCU Credit Union,6303 Thompson Road,Syracuse,13206,Onondaga,POINT (-76.089106 43.076142)
AmeriCU Credit Union,295 GRANT AVENUE,AUBURN,13021,Cayuga,POINT (-76.544556 42.954017)
AmeriCU Credit Union,20991 NYS ROUTE 3,WATERTOWN,13601,Jefferson,
AmeriCU Credit Union,231 HILL ROAD,ROME,13440,Oneida,POINT (-75.418974 43.221065)
AmeriCU Credit Union,8007 OSWEGO ROAD,LIVERPOOL,13090,Onondaga,POINT (-76.228823 43.158522)
AmeriCU Credit Union,200 WALTON STREET,SYRACUSE,13202,Onondaga,POINT (-76.155811 43.04797)
AmeriCU Credit Union,326 EAST STATE STREET,HERKIMER,13350,Herkimer,POINT (-74.980639 43.027526)
AmeriCU Credit Union,6414 STATE ROUTE 31,CICERO,13039,Onondaga,POINT (-76.07809 43.17728)
AmeriCU Credit Union,7394 UTICA BOULEVARD,LOWVILLE,13367,Lewis,POINT (-75.483936 43.777985)
AmeriCU Credit Union,5439 NORTH BURDICK STREET,FAYETTEVILLE,13066,Onondaga,POINT (-76.017435 43.039084)
AmeriCU Credit Union,5212 WEST GENESEE STREET,CAMILLUS,13031,Onondaga,POINT (-76.267751 43.041314)
AmeriCU Credit Union,224 NORTH GENESEE STREET,UTICA,13502,Oneida,POINT (-75.215082 43.112785)
AmeriCU Credit Union,82 Albany Street,Cazenovia,13035,Madison,POINT (-75.852768 42.929876)
AmeriCU Credit Union,BUILDING P10750,FT. DRUM,13603,Jefferson,
AmeriCU Credit Union,3944 NY Rt 281,Cortland,13045,Cortland,POINT (-76.204654 42.597835)
AmeriCU Credit Union,4865 WEST SENECA TURNPIKE,SYRAUCSE,13215,Onondaga,POINT (-76.180013 43.005515)
AmeriCU Credit Union,590 Bridge Street,Geddes,13209,Onondaga,POINT (-76.213104 43.072443)
AmeriCU Credit Union,759-763 State Fair Blvd,Syracuse,13209,Onondaga,POINT (-76.23732 43.086699)
American Broadcast Employees Federal Credit Union,77 West 66th Street,New York,10023,New York,POINT (-73.980728 40.773259)
American Broadcast Employees Federal Credit Union,30 West 66th Street,New York,10023,New York,POINT (-73.97956 40.772772)
Apple Bank For Savings,85 Pondfield Road,Bronxville,10708,Westchester,POINT (-73.833184 40.940029)
Apple Bank For Savings,110 CHURCH STREET,NEW YORK,10007,New York,POINT (-74.009123 40.713441)
Apple Bank For Savings,706 West 181st Street,New  York,10033,New York,POINT (-73.936154 40.850306)
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.489406 40.725264)
Apple Bank For Savings,200 Birch Hill Road,Locust Valley,11560,Nassau,POINT (-73.596242 40.879593)
Apple Bank For Savings,333 Glen Cove Avenue,Sea Cliff,11579,Nassau,POINT (-73.634969 40.841696)
Apple Bank For Savings,74 Hugh J Grant Circle,Bronx,10472,Bronx,POINT (-73.860483 40.832817)
Apple Bank For Savings,1954 Flatbush Avenue,Brooklyn,11234,Kings,POINT (-73.936377 40.622153)
Apple Bank For Savings,1693 Hempstead Turnpike,Elmont,11003,Nassau,POINT (-73.703623 40.707432)
Apple Bank For Savings,91-31 Queens Boulevard,Elmhurst,11373,Queens,POINT (-73.86954 40.733401)
Apple Bank For Savings,33 Mamaroneck Avenue,White Plains,10601,Westchester,POINT (-73.766163 41.031411)
Apple Bank For Savings,465 Grand Street,New York,10002,New York,POINT (-73.983791 40.715032)
Apple Bank For Savings,10 Downing Street,New York,10014,New York,POINT (-74.002596 40.729662)
Apple Bank For Savings,280 East Park Avenue,Long Beach,11561,Nassau,POINT (-73.655618 40.588445)
Apple Bank For Savings,"167 Walt Whitman Road, Route 110",Huntington Station,11746,Suffolk,
Apple Bank For Savings,1395 Northern Boulevard,Manhasset,11030,Nassau,POINT (-73.695221 40.793147)
Apple Bank For Savings,105 SECOND AVENUE,NEW YORK,10003,New York,POINT (-73.988399 40.727575)
Apple Bank For Savings,1170 LEXINGTON AVENUE,NEW YORK,10028,New York,POINT (-73.958022 40.776136)
Apple Bank For Savings,418 Myrtle Avenue,Brooklyn,11205,Kings,POINT (-73.969026 40.693112)
Apple Bank For Savings,1000 Merchants Councourse,Westbury,11590,Nassau,POINT (-73.592675 40.746471)
Apple Bank For Savings,1753 East Main Street,Mohegan Lake,10547,Westchester,POINT (-73.852927 41.323211)
Apple Bank For Savings,168-42 Hillside Avenue,Jamaica,11432,Queens,POINT (-73.793501 40.710472)
Apple Bank For Savings,120 East Fordham Road,Bronx,10458,Bronx,POINT (-73.898368 40.862321)
Apple Bank For Savings,78-01 37TH AVENUE,JACKSON HEIGHTS,11372,Queens,POINT (-73.887748 40.749388)
Apple Bank For Savings,426 86TH STREET,BROOKLYN,11209,Kings,POINT (-74.027632 40.622351)
Apple Bank For Savings,345 SEVENTH AVENUE,NEW YORK,10012,New York,POINT (-73.992709 40.74816)
Apple Bank For Savings,370 EAST 149TH STREET,BRONX,10455,Bronx,POINT (-73.91859 40.816245)
Apple Bank For Savings,2021 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.830956 40.869085)
Apple Bank For Savings,1617 Avenue M,Brooklyn,11230,Kings,POINT (-73.958492 40.618175)
Apple Bank For Savings,250 West 23rd Street,New York,10011,New York,POINT (-73.99754 40.744898)
Apple Bank For Savings,812-814 LEXINGTON AVENUE,NEW YORK,10022,New York,POINT (-73.966584 40.764407)
Apple Bank For Savings,79 Route 59,Monsey,10952,Rockland,POINT (-74.06682 41.107552)
Apple Bank For Savings,1289 Boston Post Rd,Larchmont,10538,Westchester,POINT (-73.746507 40.93703)
Apple Bank For Savings,32 North Main St,New City,10956,Rockland,POINT (-73.989342 41.148276)
Apple Bank For Savings,122 EAST 42ND STREET,NEW YORK,10168,New York,POINT (-73.976348 40.75157)
Apple Bank For Savings,169 EAST 125TH STREET,NEW YORK,10035,New York,POINT (-73.936295 40.803906)
Apple Bank For Savings,3815 BROADWAY,NEW YORK,10032,New York,POINT (-73.944226 40.835165)
Apple Bank For Savings,4950 Broadway,New York,10034,New York,POINT (-73.920608 40.867891)
Apple Bank For Savings,1555 FIRST AVENUE,NEW YORK,10028,New York,POINT (-73.951632 40.773771)
Apple Bank For Savings,43-73 Kissena Boulevard,Flushing,11355,Queens,POINT (-73.822932 40.753988)
Apple Bank For Savings,2100 Broadway,New York,10023,New York,POINT (-73.981517 40.779836)
Apple Bank For Savings,1320 Avenue of the Americas,New York,10019,New York,POINT (-73.978847 40.762096)
Apple Bank For Savings,12 Westchester Square,Bronx,10461,Bronx,POINT (-73.843806 40.841817)
Apple Bank For Savings,626 Pelham Parkway South,Bronx,10462,Bronx,POINT (-73.868379 40.856628)
Apple Bank For Savings,44 EAST 161ST STREET,BRONX,10451,Bronx,POINT (-73.926257 40.827736)
Apple Bank For Savings,1321 Kings Highway,Brooklyn,11229,Kings,POINT (-73.959365 40.608298)
Apple Bank For Savings,326 COURT STREET,BROOKLYN,11231,Kings,POINT (-73.99561 40.682956)
Apple Bank For Savings,1075 CENTRAL PARK AVENUE,SCARSDALE,10583,Westchester,POINT (-73.824302 40.987751)
Apple Bank For Savings,666 Columbus Ave (Rose Hill Shopping Center),Thornwood,10594,Westchester,
Apple Bank For Savings,943 Carmens Road,Massapequa,11758,Nassau,
Apple Bank For Savings,776 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.95279 40.727283)
Apple Bank For Savings,6701 18th Avenue,Brooklyn,11204,Kings,POINT (-73.991491 40.617835)
Apple Bank For Savings,3075 Veterans Highway,Ronkonkoma,11779,Suffolk,POINT (-73.137243 40.788181)
Apple Bank For Savings,1401 Avenue J,Brooklyn,11230,Kings,POINT (-73.962318 40.625079)
Apple Bank For Savings,4 Irving Place,New York,10003,New York,POINT (-73.988599 40.734227)
Apple Bank For Savings,3552-B Johnson Avenue,Bronx,10463,Bronx,POINT (-73.90971 40.886512)
Apple Bank For Savings,1168 FIRST AVENUE,NEW YORK,10021,New York,POINT (-73.959383 40.763164)
Apple Bank For Savings,4519 13th Avenue,Brooklyn,11219,Kings,POINT (-73.990215 40.636856)
Apple Bank For Savings,1973 86th Street,Brooklyn,11214,Kings,POINT (-73.998717 40.604886)
Apple Bank For Savings,7415 Fifth Avenue,Brooklyn,11209,Kings,POINT (-74.022488 40.629841)
Apple Bank For Savings,405 Brighton Beach Avenue,Brooklyn,11235,Kings,POINT (-73.963079 40.577268)
Apple Bank For Savings,486 NEPTUNE AVENUE,BROOKLYN,11224,Kings,POINT (-73.973024 40.579826)
Apple Bank For Savings,1575 50th Street,Brooklyn,11219,Kings,POINT (-73.986388 40.630649)
Apple Bank For Savings,365 South Oyster Bay Road,Plainview,11803,Nassau,POINT (-73.503226 40.784962)
Apple Bank For Savings,50 Montauk Highway,East Hampton,11937,Suffolk,POINT (-72.208295 40.954411)
Apple Bank For Savings,138 Main Street,Sag Harbor,11963,Suffolk,POINT (-72.295585 40.999438)
Apple Bank For Savings,10 Route 25A,East Setauket,11733,Suffolk,POINT (-73.10639 40.9413)
Apple Bank For Savings,775 Pulaski Road,Greenlawn,11740,Suffolk,POINT (-73.348008 40.868887)
Apple Bank For Savings,91 Route 111,Smithtown,11787,Suffolk,POINT (-73.187592 40.85282)
Apple Bank For Savings,151 East Sunrise Highway,North Lindenhurst,11757,Suffolk,POINT (-73.374629 40.703697)
Apple Bank For Savings,41 Commack Road,Commack,11725,Suffolk,POINT (-73.293186 40.841875)
Apple Bank For Savings,1000 West Montauk Highway,West Babylon,11704,Suffolk,POINT (-73.349872 40.684794)
Apple Bank For Savings,318 Albany Avenue,Brooklyn,11213,Kings,POINT (-73.939469 40.668791)
Apple Bank For Savings,414 Flushing Avenue,Brooklyn,11205,Kings,POINT (-73.958373 40.698744)
Apple Bank For Savings,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.168937 40.58237)
Apple Bank For Savings,101 East 170th Street,Bronx,10452,Bronx,POINT (-73.915685 40.839467)
Apple Bank For Savings,102-35 Queens Boulevard,Forest Hills,11375,Queens,POINT (-73.850598 40.725538)
Apple Bank For Savings,115 Cedarhurst Avenue,Cedarhurst,11516,Nassau,POINT (-73.724049 40.622238)
Apple Bank For Savings,44 Lee Avenue,Brooklyn,11211,Kings,POINT (-73.960565 40.706274)
Apple Bank For Savings,10 Hanover Square,New York,10005,New York,POINT (-74.00921 40.704325)
Apple Bank For Savings,116-12 Queens Boulevard,Kew Gardens,11375,Queens,POINT (-73.833653 40.715941)
BCB Community Bank,70 Broadway,Hicksville,11801,Nassau,POINT (-73.524119 40.767662)
BCB Community Bank,354 NEW DORP LANE,STATEN ISLAND,10306,Richmond,POINT (-74.110846 40.571058)
BCB Community Bank,1500 forest avenue,staten island,10302,Richmond,POINT (-74.13859 40.624262)
Ballston Spa National Bank,124 Dunning Street,Ballston Spa,12020,Saratoga,POINT (-73.791169 42.971326)
Ballston Spa National Bank,625 Maple Avenue,Saratoga Springs,12866,Saratoga,POINT (-73.769111 43.119414)
Ballston Spa National Bank,344 Rowland Street,Ballston Spa,12020,Saratoga,POINT (-73.850286 43.043713)
Ballston Spa National Bank,428 Hudson Avenue,Mechanicville,12118,Saratoga,POINT (-73.667347 42.929904)
Ballston Spa National Bank,3060 Route 9N,Greenfield Center,12833,Saratoga,POINT (-73.846427 43.126215)
Ballston Spa National Bank,5091 Sacandaga Road,Galway,12074,Saratoga,POINT (-74.030688 43.012713)
Ballston Spa National Bank,770 Saratoga Road,Burnt Hills,12027,Saratoga,POINT (-73.903005 42.904618)
Ballston Spa National Bank,87 Front Street,Ballston Spa,12020,Saratoga,POINT (-73.851701 43.002397)
Ballston Spa National Bank,1714 ROUTE 9,CLIFTON PARK,12065,Saratoga,POINT (-73.770053 42.864805)
Ballston Spa National Bank,990 Route 67,Ballston Spa,12020,Saratoga,POINT (-73.86059 42.999917)
Ballston Spa National Bank,1207 Troy Schenectady Road,Latham,12110,Albany,POINT (-73.823505 42.772131)
Ballston Spa National Bank,1973 Western Ave,Albany,12203,Albany,POINT (-73.879525 42.694633)
Ballston Spa National Bank,13 MAPLE ROAD,VOORHEESVILLE,12186,Albany,POINT (-73.92292 42.649418)
Banco Popular North America,83-22 Baxter Avenue,Elmhurst,11373,Queens,POINT (-73.882635 40.747595)
Banco Popular North America,166 Livingston Street,Brooklyn,11201,Kings,POINT (-73.987321 40.690248)
Banco Popular North America,90 West 96th Street,New York,10025,New York,POINT (-73.96723 40.792737)
Banco Popular North America,752 East Tremont Avenue,Bronx,10457,Bronx,POINT (-73.889243 40.844483)
Banco Popular North America,3540 Broadway,New York,10031,New York,POINT (-73.950479 40.826208)
Banco Popular North America,134 Delancy Street,New York,10002,New York,POINT (-73.987225 40.718329)
Banco Popular North America,1619 Sheepshead Bay Road,Brooklyn,11235,Kings,POINT (-73.952687 40.586977)
Banco Popular North America,231 West 125th Street,New York,10027,New York,POINT (-73.949661 40.809537)
Banco Popular North America,2095 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.917899 40.626155)
Banco Popular North America,918 Seneca Avenue,Ridgewood,11385,Queens,POINT (-73.903566 40.700362)
Banco Popular North America,2923 Third Avenue,Bronx,10455,Bronx,POINT (-73.915799 40.817474)
Banco Popular North America,52-16th Fifth Avenue,Brooklyn,11220,Kings,POINT (-73.977107 40.681365)
Banco Popular North America,3851 Nostrand Avenue,Brooklyn,11235,Kings,POINT (-73.939822 40.58996)
Banco Popular North America,1170 Castle Hill Avenue,Bronx,10462,Bronx,POINT (-73.850977 40.831651)
Banco Popular North America,11 West 51st Street,New York,10019,New York,POINT (-73.977884 40.75965)
Banco Popular North America,375 Park Avenue South,New York,10010,New York,POINT (-73.98512 40.741809)
Banco Popular North America,310 Houston Street,New York,10002,New York,POINT (-73.983333 40.721401)
Banco Popular North America,615 West 181 Street,New York,10033,New York,POINT (-73.934384 40.849595)
Banco Popular North America,1620 Pitkin Avenue,Brooklyn,11212,Kings,POINT (-73.913853 40.669224)
Banco Popular North America,15 Graham Avenue,Brooklyn,11205,Kings,POINT (-73.94231 40.701925)
Banco Popular North America,164 East 116th Street,New York,10029,New York,POINT (-73.941159 40.79843)
Banco Popular North America,1046 Southern Boulevard,Bronx,10459,Bronx,POINT (-73.891873 40.824191)
Banco Popular North America,285 Madison Avenue,New York,10014,New York,POINT (-73.980096 40.751685)
Banco Popular North America,180 Dyckman Street,New York,10040,New York,POINT (-73.926515 40.864351)
Banco Popular North America,2812 Broadway,New York,10025,New York,POINT (-73.967196 40.803326)
Banco Popular North America,956 Flatbush Avenue,Brooklyn,11226,Kings,POINT (-73.958177 40.648081)
Banco Popular North America,1230 Fulton Street,Brooklyn,11216,Kings,POINT (-73.951304 40.680486)
Banco Popular North America,1200 St. Nicholas Avenue,New York,10032,New York,POINT (-73.938723 40.842452)
Banco Popular North America,66 Court Street,Brooklyn,11201,Kings,POINT (-73.991353 40.691797)
Banco Popular North America,35-30 Junction Boulevard,Corona,11368,Queens,POINT (-73.871328 40.752472)
Banco Popular North America,441 Second Avenue,New York,10010,New York,POINT (-73.979828 40.739343)
Banco Popular North America,28-36 Steinway Street,Long Island City,11103,Queens,POINT (-73.914474 40.764534)
Banco Popular North America,875 Third Avenue,New York,10022,New York,POINT (-73.969602 40.757397)
Banco Popular North America,301 Fordham Road,Bronx,10458,Bronx,POINT (-73.894603 40.862218)
Bank On Buffalo,9470 Clarence Center Road,Clarence Center,14032,Erie,POINT (-78.636858 43.010388)
Bank On Buffalo,77 Buell Street,Akron,14001,Erie,POINT (-78.502518 43.013441)
Bank On Buffalo,9865 Main Street,Clarence,14031,Erie,POINT (-78.62113 42.975378)
Bank On Buffalo,3619 Walden Avenue,Lancaster,14086,Erie,POINT (-78.671982 42.915798)
Bank On Buffalo,46 Main Street,Akron,14001,Erie,POINT (-78.500823 43.020156)
Bank On Buffalo,5190 Sheridan Drive,Williamsville,14221,Erie,POINT (-78.740786 42.978557)
Bank On Buffalo,3049 Orchard Park Rd,Orchard Park,14127,Erie,POINT (-78.752689 42.801175)
Bank On Buffalo,827 Hopkins Rd,Amherst,14221,Erie,POINT (-78.739457 43.001163)
Bank On Buffalo,638 LAKE STREET,WILSON,14172,Erie,POINT (-78.826005 43.298283)
Bank On Buffalo,535 Washington St,Buffalo,14203,Erie,POINT (-78.872309 42.888733)
Bank On Buffalo,7121 Niagara Falls Blvd,Niagara Falls,14304,Niagara,POINT (-78.982103 43.088188)
Bank of America N.A. GA1-006-15-40,808 Columbus Avenue,New York,10025,New York,POINT (-73.965851 40.795151)
Bank of America N.A. GA1-006-15-40,92 Delancey Street,New York,10002,New York,POINT (-73.989188 40.718952)
Bank of America N.A. GA1-006-15-40,1107 Third Avenue,New York,10065,New York,POINT (-73.964004 40.765077)
Bank of America N.A. GA1-006-15-40,244 Eighth Avenue,New York,10011,New York,POINT (-73.998764 40.744917)
Bank of America N.A. GA1-006-15-40,1886 Broadway,New York,10023,New York,POINT (-73.98202 40.770749)
Bank of America N.A. GA1-006-15-40,2136 Bartow Avenue,Bronx,10475,Bronx,POINT (-73.825545 40.869358)
Bank of America N.A. GA1-006-15-40,24-10  Jackson Avenue,Long Island City,11101,Queens,POINT (-73.944645 40.746204)
Bank of America N.A. GA1-006-15-40,115 West 42nd Street,New York,10036,New York,POINT (-73.984875 40.755172)
Bank of America N.A. GA1-006-15-40,500 Mamaroneck Avenue,White Plains,10605,Westchester,POINT (-73.758939 41.022381)
Bank of America N.A. GA1-006-15-40,438 86th Street,Brooklyn,11209,Kings,POINT (-74.02735 40.622179)
Bank of America N.A. GA1-006-15-40,206 Main Street,White Plains,10601,Westchester,POINT (-73.765663 41.032964)
Bank of America N.A. GA1-006-15-40,2820 Hylan Boulevard,Staten Island,10306,Richmond,POINT (-74.116079 40.564086)
Bank of America N.A. GA1-006-15-40,120 Flatbush Avenue,Brooklyn,11217,Kings,POINT (-73.978295 40.685125)
Bank of America N.A. GA1-006-15-40,277 Canal Street,New York,10013,New York,POINT (-74.001688 40.719259)
Bank of America N.A. GA1-006-15-40,353 Lexington Avenue,New York,10016,New York,POINT (-73.977129 40.749972)
Bank of America N.A. GA1-006-15-40,2535 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.168393 40.586148)
Bank of America N.A. GA1-006-15-40,45-26 Greenpoint Avenue,Sunnyside,11104,Queens,POINT (-73.919264 40.742083)
Bank of America N.A. GA1-006-15-40,274 7th Avenue,Brooklyn,11215,Kings,POINT (-73.980223 40.668511)
Bank of America N.A. GA1-006-15-40,386 Knickerbocker Avenue,Brooklyn,11237,Kings,POINT (-73.920656 40.700114)
Bank of America N.A. GA1-006-15-40,5345 West Genessee Street,Camillius,13031,Onondaga,POINT (-76.274013 43.041075)
